subject,item,condition,ID,ffd,sfd,gzd,tvt,gpt,skp,rgi,rgo,exp,wordtype,wordtype3,target.freq,relative.freq,word.freq,pred.raw,pred.split,divergence
1,1,1,1.1,265,265,265,265,265,1,0,0,SCA,Target,2,L,T,L,0,low,161.5
1,2,2,2.2,158,158,158,158,158,1,0,0,SCA,Homophone,1,L,H,H,0,low,161.5
1,3,3,3.3,NA,NA,NA,NA,NA,0,0,0,SCA,Ortho_control,3,L,H,L,0,low,161.5
1,4,1,4.1,NA,NA,NA,173,NA,0,1,0,SCA,Target,2,H,T,H,0.1,low,161.5
1,5,2,5.2,198,198,198,198,198,1,0,0,SCA,Homophone,1,H,L,L,0.6,high,161.5
1,7,1,7.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,H,T,H,0.3,low,161.5
1,8,2,8.2,230,230,230,230,230,1,0,0,SCA,Homophone,1,H,H,H,0,low,161.5
1,9,3,9.3,NA,NA,NA,NA,NA,0,0,0,SCA,Ortho_control,3,H,H,H,0.2,low,161.5
1,10,1,10.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,L,T,L,0.2,low,161.5
1,11,2,11.2,NA,NA,NA,NA,NA,0,0,0,SCA,Homophone,1,L,H,H,0.3,low,161.5
1,12,3,12.3,294,294,294,294,294,1,0,0,SCA,Ortho_control,3,L,H,H,0,low,161.5
1,13,1,13.1,286,286,286,286,286,1,0,0,SCA,Target,2,H,T,H,0.3,low,161.5
1,14,2,14.2,198,198,198,433,299,1,1,1,SCA,Homophone,1,H,L,L,1,high,161.5
1,15,3,15.3,300,300,300,300,300,1,0,0,SCA,Ortho_control,3,H,L,L,0.7,high,161.5
1,16,1,16.1,173,NA,302,302,302,1,0,0,SCA,Target,2,H,T,L,0.9,high,161.5
1,17,2,17.2,304,304,304,304,304,1,0,0,SCA,Homophone,1,H,H,H,0.8,high,161.5
1,18,3,18.3,NA,NA,NA,133,NA,0,1,0,SCA,Ortho_control,3,H,H,H,0.8,high,161.5
1,20,2,20.2,NA,NA,NA,NA,NA,0,0,0,SCA,Homophone,1,H,L,L,1,high,161.5
1,21,3,21.3,341,341,341,341,341,1,0,0,SCA,Ortho_control,3,H,H,H,0.7,high,161.5
1,23,2,23.2,484,484,484,484,484,1,0,0,SCA,Homophone,1,L,H,H,0.3,low,161.5
1,24,3,24.3,336,336,336,336,336,1,0,0,SCA,Ortho_control,3,L,H,H,0.2,low,161.5
1,25,1,25.1,141,141,141,358,141,1,0,0,SCA,Target,2,H,T,H,0,low,161.5
1,26,2,26.2,NA,NA,NA,NA,NA,0,0,0,SCA,Homophone,1,H,L,L,0,low,161.5
1,27,3,27.3,NA,NA,NA,NA,NA,0,0,0,SCA,Ortho_control,3,H,H,H,0,low,161.5
1,28,1,28.1,385,385,385,385,385,1,0,0,SCA,Target,2,L,T,L,0.1,low,161.5
1,31,1,31.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,H,T,H,0.6,high,161.5
1,32,2,32.2,NA,NA,NA,NA,NA,0,0,0,SCA,Homophone,1,H,L,L,0.1,low,161.5
1,33,3,33.3,NA,NA,NA,194,NA,0,1,0,SCA,Ortho_control,3,H,L,H,0.9,high,161.5
1,34,1,34.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,L,T,L,0.5,high,161.5
1,35,2,35.2,260,260,260,260,431,1,0,1,SCA,Homophone,1,L,H,H,0.9,high,161.5
1,36,3,36.3,332,332,332,332,332,1,0,0,SCA,Ortho_control,3,L,H,H,0.4,high,161.5
1,37,1,37.1,156,156,156,156,450,1,0,1,SCA,Target,2,L,T,L,0,low,161.5
1,38,2,38.2,173,173,173,173,173,1,0,0,SCA,Homophone,1,L,L,L,0.9,high,161.5
1,39,3,39.3,NA,NA,NA,231,NA,0,1,0,SCA,Ortho_control,3,L,L,L,0.3,low,161.5
1,40,1,40.1,NA,NA,NA,NA,NA,0,0,0,SCA,Target,2,L,T,L,0.3,low,161.5
1,41,2,41.2,244,244,244,244,244,1,0,0,SCA,Homophone,1,L,H,L,0.2,low,161.5
1,42,3,42.3,NA,NA,NA,281,NA,0,1,0,SCA,Ortho_control,3,L,H,L,0,low,161.5
1,43,1,43.1,182,182,182,182,182,1,0,0,SCA,Target,2,L,T,L,0.7,high,161.5
1,44,2,44.2,NA,NA,NA,91,NA,0,1,0,SCA,Homophone,1,L,L,L,0,low,161.5
1,45,3,45.3,NA,NA,NA,NA,NA,0,0,0,SCA,Ortho_control,3,L,L,L,0.1,low,161.5
1,46,1,46.1,151,151,151,151,151,1,0,0,SCA,Target,2,L,T,L,0,low,161.5
