subject,item,condition,ID,ffd,sfd,gzd,tvt,gpt,skp,rgi,rgo,exp,wordtype,wordtype3,divergence,pred.raw
1,1,1,1.1,NA,NA,NA,NA,NA,0,0,0,SCB,Target,2,212,0
1,2,2,2.2,186,186,186,186,186,1,0,0,SCB,Pseudohomophone,1,212,0.2
1,3,3,3.3,218,218,218,218,218,1,0,0,SCB,Ortho_control,3,212,0.2
1,4,1,4.1,214,214,214,214,214,1,0,0,SCB,Target,2,212,0.9
1,5,2,5.2,178,NA,434,434,434,1,0,0,SCB,Pseudohomophone,1,212,0.3
1,6,3,6.3,NA,NA,NA,286,NA,0,1,0,SCB,Ortho_control,3,212,0.1
1,7,1,7.1,NA,NA,NA,525,NA,0,1,0,SCB,Target,2,212,0.5
1,8,2,8.2,NA,NA,NA,379,NA,0,1,0,SCB,Pseudohomophone,1,212,0.3
1,9,3,9.3,192,192,192,666,192,1,0,0,SCB,Ortho_control,3,212,0.7
1,10,1,10.1,219,219,219,219,219,1,0,0,SCB,Target,2,212,0.4
1,11,2,11.2,249,249,249,249,680,1,0,1,SCB,Pseudohomophone,1,212,0.4
1,12,3,12.3,260,260,260,260,260,1,0,0,SCB,Ortho_control,3,212,0.9
1,13,1,13.1,161,161,161,161,161,1,0,0,SCB,Target,2,212,0.7
1,14,2,14.2,NA,NA,NA,NA,NA,0,0,0,SCB,Pseudohomophone,1,212,0.9
1,15,3,15.3,60,60,60,60,60,1,0,0,SCB,Ortho_control,3,212,1
1,16,1,16.1,386,386,386,386,386,1,0,0,SCB,Target,2,212,0
1,17,2,17.2,164,164,164,164,164,1,0,0,SCB,Pseudohomophone,1,212,1
1,18,3,18.3,239,239,239,239,239,1,0,0,SCB,Ortho_control,3,212,0.1
1,19,1,19.1,94,NA,256,256,256,1,0,0,SCB,Target,2,212,0.6
1,20,2,20.2,203,NA,314,314,314,1,0,0,SCB,Pseudohomophone,1,212,0
1,21,3,21.3,263,263,263,263,263,1,0,0,SCB,Ortho_control,3,212,0.5
1,22,1,22.1,222,222,222,222,222,1,0,0,SCB,Target,2,212,0.9
1,23,2,23.2,NA,NA,NA,195,NA,0,1,0,SCB,Pseudohomophone,1,212,0.8
1,24,3,24.3,178,178,178,178,178,1,0,0,SCB,Ortho_control,3,212,0.8
1,25,1,25.1,353,NA,353,613,712,1,0,1,SCB,Target,2,212,0.2
1,26,2,26.2,431,431,431,431,431,1,0,0,SCB,Pseudohomophone,1,212,0.8
1,27,3,27.3,256,NA,372,869,1351,1,0,1,SCB,Ortho_control,3,212,0.4
1,28,1,28.1,233,233,233,466,233,1,1,0,SCB,Target,2,212,1
1,29,2,29.2,NA,NA,NA,258,NA,0,0,0,SCB,Pseudohomophone,1,212,0.6
1,30,3,30.3,NA,NA,NA,203,NA,0,1,0,SCB,Ortho_control,3,212,0.4
1,31,1,31.1,397,397,397,397,397,1,0,0,SCB,Target,2,212,0.8
1,32,2,32.2,NA,NA,NA,415,NA,0,1,0,SCB,Pseudohomophone,1,212,1
1,33,3,33.3,40,NA,40,247,1323,1,0,1,SCB,Ortho_control,3,212,0.1
1,34,1,34.1,56,56,56,56,56,1,0,0,SCB,Target,2,212,1
1,35,2,35.2,228,228,228,228,228,1,0,0,SCB,Pseudohomophone,1,212,0.7
1,36,3,36.3,342,342,342,899,342,1,1,0,SCB,Ortho_control,3,212,0.3
1,37,1,37.1,NA,NA,NA,NA,NA,0,0,0,SCB,Target,2,212,1
1,38,2,38.2,196,196,196,750,196,1,0,0,SCB,Pseudohomophone,1,212,0.5
1,39,3,39.3,NA,NA,NA,877,NA,0,1,0,SCB,Ortho_control,3,212,0
1,40,1,40.1,172,NA,352,352,352,1,0,0,SCB,Target,2,212,0.9
1,42,3,42.3,266,266,266,613,266,1,0,0,SCB,Ortho_control,3,212,0.5
1,43,1,43.1,264,264,264,264,264,1,0,0,SCB,Target,2,212,0.7
1,44,2,44.2,295,NA,295,532,725,1,0,1,SCB,Pseudohomophone,1,212,0.3
1,45,3,45.3,256,NA,857,857,857,1,0,0,SCB,Ortho_control,3,212,1
1,46,1,46.1,223,223,223,223,223,1,0,0,SCB,Target,2,212,0.9
1,47,2,47.2,NA,NA,NA,NA,NA,0,0,0,SCB,Pseudohomophone,1,212,0.9
1,48,3,48.3,272,NA,542,542,542,1,0,0,SCB,Ortho_control,3,212,1
1,50,2,50.2,206,NA,380,380,380,1,0,0,SCB,Pseudohomophone,1,212,0.5
1,51,3,51.3,256,256,256,256,256,1,0,0,SCB,Ortho_control,3,212,0.3
1,52,1,52.1,NA,NA,NA,158,NA,0,1,0,SCB,Target,2,212,1
1,53,2,53.2,236,236,236,236,236,1,0,0,SCB,Pseudohomophone,1,212,0.8
1,54,3,54.3,NA,NA,NA,179,NA,0,1,0,SCB,Ortho_control,3,212,0.7
1,56,2,56.2,NA,NA,NA,NA,NA,0,0,0,SCB,Pseudohomophone,1,212,0.1
1,57,3,57.3,276,276,276,438,276,1,1,0,SCB,Ortho_control,3,212,0.2
1,58,1,58.1,239,NA,383,383,383,1,0,0,SCB,Target,2,212,0.7
1,59,2,59.2,207,207,207,424,207,1,1,0,SCB,Pseudohomophone,1,212,0
1,60,3,60.3,279,NA,279,603,707,1,0,1,SCB,Ortho_control,3,212,0.3
1,61,1,61.1,314,314,314,578,314,1,1,0,SCB,Target,2,212,0.1
1,62,2,62.2,NA,NA,NA,NA,NA,0,0,0,SCB,Pseudohomophone,1,212,1
1,63,3,63.3,336,336,336,336,336,1,0,0,SCB,Ortho_control,3,212,0
1,64,1,64.1,NA,NA,NA,NA,NA,0,0,0,SCB,Target,2,212,1
1,65,2,65.2,557,557,557,557,557,1,0,0,SCB,Pseudohomophone,1,212,1
1,66,3,66.3,NA,NA,NA,514,NA,0,1,0,SCB,Ortho_control,3,212,1
1,68,2,68.2,233,233,233,1122,233,1,1,0,SCB,Pseudohomophone,1,212,1
